symbol,as_of_date,price,sector,score,sales_cagr_5y,avg_roe_5y,pe_ratio,debt_equity,market_cap_cr,cfo_pat_ratio,source_updated_at,created_at,flag_inf_any_numeric,threshold_extreme_pe_sector_p995_pe_ratio,flag_extreme_pe_sector_p995,threshold_extreme_roe_sector_p995_avg_roe_5y,flag_extreme_roe_sector_p995,threshold_high_sales_cagr_sector_p995_sales_cagr_5y,flag_high_sales_cagr_sector_p995,as_of_age_days,flag_stale_as_of_date,issue_codes_hard_fail,issue_codes_warning,issue_codes_all,issue_count_hard_fail,issue_count_warning,issue_count_all,flag_has_hard_fail,flag_has_warning,flag_any_issue,row_action
USHAMART.NS,2026-02-14,409.8999938964844,Basic Materials,,,16.76,28.91,8.91,12669.44,0.0,2026-02-13 10:09:24.442248,2026-02-14 13:17:48,False,1725.8593000000008,False,59.53,False,18.36,False,24,True,,STALE_AS_OF_DATE,STALE_AS_OF_DATE,0,1,1,False,True,True,WATCH
UTIAMC.NS,2026-02-14,1071.0,Financial Services,,,14.85,24.48,3.02,13635.88,0.0,2026-02-13 10:09:24.442248,2026-02-14 13:17:48,False,435.26070000000004,False,54.42,False,855.65,False,24,True,,STALE_AS_OF_DATE,STALE_AS_OF_DATE,0,1,1,False,True,True,WATCH
VBL.NS,2026-02-14,448.45001220703125,Consumer Defensive,,,22.53,49.89,0.13,151517.83,1.16,2026-02-13 10:09:24.442248,2026-02-14 13:17:48,False,134.99575,False,95.34,False,43.93,False,24,True,,STALE_AS_OF_DATE,STALE_AS_OF_DATE,0,1,1,False,True,True,WATCH
VEDL.NS,2026-02-14,673.7999877929688,Basic Materials,,,27.13,18.72,1.9,263762.45,0.0,2026-02-13 10:09:24.442248,2026-02-14 13:17:48,False,1725.8593000000008,False,59.53,False,18.36,False,24,True,,STALE_AS_OF_DATE,STALE_AS_OF_DATE,0,1,1,False,True,True,WATCH
UBL.NS,2026-02-14,1630.0,Consumer Defensive,,,9.22,103.49,0.18,42140.89,0.0,2026-02-13 10:09:24.442248,2026-02-14 13:17:48,False,134.99575,False,95.34,False,43.93,False,24,True,,STALE_AS_OF_DATE,STALE_AS_OF_DATE,0,1,1,False,True,True,WATCH
THERMAX.NS,2026-02-14,2888.0,Industrials,,,11.99,45.57,0.36,31106.74,0.0,2026-02-13 10:09:24.442248,2026-02-14 13:17:48,False,1133.970849999963,False,624.8587999999795,False,93.79,False,24,True,,STALE_AS_OF_DATE,STALE_AS_OF_DATE,0,1,1,False,True,True,WATCH
THELEELA.NS,2026-02-14,445.04998779296875,Consumer Cyclical,58.4,50.69,1.34,37.69,0.28,14637.37,0.0,2026-02-13 10:09:24.442248,2026-02-14 13:17:48,False,1051.3805000000034,False,157.5087000000005,False,285.18,False,24,True,,STALE_AS_OF_DATE,STALE_AS_OF_DATE,0,1,1,False,True,True,WATCH
TEJASNET.NS,2026-02-14,329.1499938964844,Technology,,,2.28,0.0,1.29,5783.55,0.0,2026-02-13 10:09:24.442248,2026-02-14 13:17:48,False,2519.7525000000046,False,50312.7,False,139.45,False,24,True,,STALE_AS_OF_DATE,STALE_AS_OF_DATE,0,1,1,False,True,True,WATCH
SIGNATURE.NS,2026-02-14,1041.0,Real Estate,39.6,41.15,-39.28,5119.25,3.56,14386.19,0.0,2026-02-13 10:09:24.442248,2026-02-14 13:17:48,False,5211.684499999999,False,39.28,False,600.0,False,24,True,,STALE_AS_OF_DATE,STALE_AS_OF_DATE,0,1,1,False,True,True,WATCH
SOBHA.NS,2026-02-14,1506.0,Real Estate,48.0,16.27,3.84,112.84,0.23,16068.8,0.0,2026-02-13 10:09:24.442248,2026-02-14 13:17:48,False,5211.684499999999,False,39.28,False,600.0,False,24,True,,STALE_AS_OF_DATE,STALE_AS_OF_DATE,0,1,1,False,True,True,WATCH
SOLARINDS.NS,2026-02-14,12935.0,Basic Materials,,,26.23,81.86,0.16,119030.63,0.0,2026-02-13 10:09:24.442248,2026-02-14 13:17:48,False,1725.8593000000008,False,59.53,False,18.36,False,24,True,,STALE_AS_OF_DATE,STALE_AS_OF_DATE,0,1,1,False,True,True,WATCH
