Symbol,Price,Avg_Volume_10D,Sector,Industry,Market_Cap_Cr,200_DMA,50_DMA,RSI,Sales_Growth_TTM%,Sales_Growth_5Y%,ROE%,Avg_ROE_5Y%,Profit_Margin%,Debt_Equity,PEG_Ratio,PE_Ratio,Down_From_52W_High%,Smart_Money%,Free_Cashflow,CFO_PAT_Ratio,EPS_Growth%,F_Score,RS_Rating,Earnings_Accel,Graham_Number,Value_Gap%,Technical_Signal,MACD_Bullish,Analyst_Rating,Target_Mean_Price,Analyst_Upside%,Analyst_Count,Promoter_Holding%,Inst_Holding%,ATR,Stop_Loss_ATR,Max_Qty_1L,score,Rating,updated_at,As_Of_Date
JYOTIRES.BO,875.5,29854,Basic Materials,Specialty Chemicals,1050.6,1239.2459072875977,1090.2140026855468,24.04,1.7,,0.0,37.01,23.2,0.0,100,14.95,44.24,62.83,0,0.0,0,2,-8.56,False,521.47,-40.44,Bearish,False,None,1764.0,101.48,1,62.83,0.0,45.45,784.6,22,,Avoid,2026-02-16 10:06:33.927980,2026-02-16
KPRMILL.NS,914.1500244140625,1458219,Consumer Cyclical,Textile Manufacturing,31311.7,1044.7154165649415,915.9044592285156,52.05,-4.0,,0.0,20.79,12.72,6.46,100,37.07,34.19,85.95,0,0.0,0,1,-0.94,False,294.65,-67.77,Bullish,True,Buy,1098.0,20.11,11,67.54,18.42,53.98,806.2,18,,Avoid,2026-02-16 10:06:33.927980,2026-02-16
LICHSGFIN.NS,508.6499938964844,2219396,Financial Services,Mortgage Finance,27978.95,565.8660961914062,526.4450012207031,49.28,-2.3,,0.0,12.49,65.18,6.79,100,5.1,21.32,78.6,0,0.0,0,1,-2.47,True,1253.32,146.4,Neutral,True,Hold,600.6539,18.09,26,2.35,76.25,11.06,486.54,90,,Avoid,2026-02-16 10:06:33.927980,2026-02-16
LLOYDSME.NS,1181.5999755859375,927867,Basic Materials,Steel,64331.11,1339.0064770507813,1252.8739965820312,60.58,201.9,,0.0,17.05,20.05,1.0,100,26.9,26.7,82.1,0,0.0,0,1,-4.22,True,383.28,-67.56,Bullish,True,Strong Buy,1724.0,45.9,5,79.28,2.83,43.37,1094.86,23,,Avoid,2026-02-16 10:06:33.927980,2026-02-16
MAMATA.NS,424.5,136706,Industrials,Specialty Industrial Machinery,1044.6,428.04240493774415,413.1640020751953,68.86,-8.5,,0.0,22.32,15.6,4.11,100,24.77,21.53,65.31,0,0.0,0,1,1.24,True,166.35,-60.81,Bullish,True,None,0.0,0.0,0,65.31,0.0,15.4,393.7,64,,Avoid,2026-02-16 10:06:33.927980,2026-02-16
MANKIND.NS,2080.89990234375,381173,Healthcare,Drug Manufacturers - Specialty & Generic,85900.6,2374.36263671875,2154.0139990234375,48.4,10.4,16.19,0.0,18.71,12.79,0.54,100,48.33,23.4,93.46,0,0.0,0,1,-4.31,False,598.94,-71.22,Neutral,True,Buy,2536.5264,21.9,19,75.27,18.19,45.73,1989.45,21,41.6,Avoid,2026-02-16 10:06:33.927980,2026-02-16
MASTERTR.NS,84.80999755859375,141610,Financial Services,Capital Markets,1043.3,135.74464988708496,108.10960037231445,30.54,-8.1,,0.0,19.61,24.77,0.22,100,8.39,51.37,84.48,0,0.0,0,2,-13.07,True,121.42,43.17,Bearish,False,None,0.0,0.0,0,84.48,0.0,4.68,75.44,213,,Avoid,2026-02-16 10:06:33.927980,2026-02-16
MAZDOCK.NS,2343.89990234375,1007310,Industrials,Aerospace & Defense,94548.24,2818.7689233398437,2446.494697265625,51.23,14.6,25.11,0.0,25.19,19.52,0.02,100,39.26,37.91,86.99,0,0.0,0,2,-3.63,True,544.71,-76.76,Neutral,False,Hold,2975.0,26.93,6,81.22,5.77,73.05,2197.79,13,57.1,Hold,2026-02-16 10:06:33.927980,2026-02-16
MCLOUD.NS,28.270000457763672,4076740,Technology,Information Technology Services,1668.5,60.98956053733826,25.476400032043458,87.26,8.3,,0.0,27.04,16.51,0.47,100,15.53,73.18,70.86,0,0.0,0,1,-16.91,True,20.13,-28.79,Bullish,True,None,0.0,0.0,0,70.77,0.09,1.29,25.7,777,,Avoid,2026-02-16 10:06:33.927980,2026-02-16
MGL.NS,1102.199951171875,319896,Utilities,Utilities - Regulated Gas,10887.29,1259.306603088379,1093.8861291503906,66.33,11.5,26.9,0.0,19.61,11.68,3.54,100,11.43,30.54,72.81,0,0.0,0,1,-4.14,False,1167.83,5.95,Bullish,True,Buy,1381.3103,25.32,29,43.64,29.17,36.46,1029.29,27,51.5,Hold,2026-02-16 10:06:33.927980,2026-02-16
MONARCH.NS,293.1499938964844,60158,Financial Services,Capital Markets,2323.75,318.7046369934082,299.3059985351563,62.36,22.9,,0.0,26.47,48.51,1.26,100,14.62,26.49,77.98,0,0.0,0,1,-3.15,True,223.7,-23.69,Bullish,True,None,0.0,0.0,0,76.79,1.19,10.34,272.47,96,,Avoid,2026-02-16 10:06:33.927980,2026-02-16
MPSLTD.NS,1498.800048828125,54996,Communication Services,Publishing,2542.85,2233.946937255859,1890.1159985351562,28.92,-2.1,,0.0,26.57,23.25,2.06,100,14.7,51.32,73.86,0,0.0,0,1,-8.82,False,814.1,-45.68,Bearish,False,Strong Buy,2800.0,86.82,1,73.46,0.4,89.4,1320.0,11,,Avoid,2026-02-16 10:06:33.927980,2026-02-16
NATCOPHARM.NS,911.75,591793,Healthcare,Drug Manufacturers - Specialty & Generic,16339.38,875.9450390625,876.9199987792969,69.79,36.3,,0.0,16.79,34.13,3.01,100,10.49,13.9,63.48,0,0.0,0,1,1.28,False,971.79,6.59,Bullish,True,Hold,991.63635,8.76,11,51.2,12.28,34.35,843.05,29,,Avoid,2026-02-16 10:06:33.927980,2026-02-16
NAVA.NS,551.1500244140625,285481,Industrials,Conglomerates,15597.62,576.766364440918,563.0680029296875,55.89,17.6,6.15,0.0,13.46,21.46,0.16,100,17.53,25.01,59.82,0,0.0,0,2,-1.28,True,449.75,-18.4,Neutral,False,None,0.0,0.0,0,54.37,5.45,17.35,516.46,57,30.8,Avoid,2026-02-16 10:06:33.927980,2026-02-16
NEETUYOSHI.BO,91.54000091552734,26560,Industrials,Railroads,355.29,116.26285716465541,99.5847999572754,67.75,25.4,25.4,0.0,24.62,25.14,0.11,100,28.34,38.44,70.03,0,-2.4,0,2,-6.65,False,52.17,-43.01,Bullish,True,None,0.0,0.0,0,70.03,0.0,4.53,82.49,220,52.5,Hold,2026-02-16 10:06:33.927980,2026-02-16
NEWGEN.NS,468.0,946180,Technology,Software - Infrastructure,6588.88,926.8794004821777,727.5480072021485,18.78,5.0,24.05,0.0,19.9,19.5,3.25,100,22.18,66.02,74.67,0,0.0,0,1,-12.84,True,179.16,-61.72,Bearish,False,None,845.0,80.56,6,63.46,11.22,26.27,415.45,38,46.0,Avoid,2026-02-16 10:06:33.927980,2026-02-16
NLCINDIA.NS,255.85000610351562,1556416,Utilities,Utilities - Regulated Electric,35477.1,242.72044471740722,250.42834838867188,58.88,0.7,8.56,0.0,10.53,16.03,1.05,100,13.32,12.44,89.98,0,0.0,0,1,2.68,False,260.49,1.81,Neutral,False,Strong Buy,324.0,26.64,1,75.25,14.73,9.26,237.33,107,39.3,Avoid,2026-02-16 10:06:33.927980,2026-02-16
NMDC.NS,79.55000305175781,36217561,Basic Materials,Steel,69912.53,72.00342386245728,78.61543685913085,57.54,15.9,,0.0,30.21,24.88,0.11,100,10.13,8.27,72.83,0,0.0,0,2,4.93,False,80.75,1.51,Neutral,False,Hold,81.41176,2.34,17,60.79,12.03,2.38,74.79,420,,Avoid,2026-02-16 10:06:33.927980,2026-02-16
NUVOCO.NS,335.8500061035156,305586,Basic Materials,Building Materials,12003.78,383.64175079345705,350.92000061035156,43.29,12.1,3.93,0.0,0.61,3.47,0.63,100,31.24,29.66,92.32,0,0.0,0,1,-7.0,False,249.35,-25.76,Bearish,False,Buy,434.35294,29.33,17,72.02,20.3,10.89,314.06,91,28.4,Avoid,2026-02-16 10:06:33.927980,2026-02-16
ONGC.NS,271.75,17431387,Energy,Oil & Gas Integrated,341931.98,239.53966888427735,247.13440063476563,63.25,0.8,7.56,0.0,13.86,5.8,0.44,100,8.99,3.05,91.87,0,0.0,0,1,4.93,False,446.18,64.19,Bullish,True,Buy,280.7742,3.32,31,69.21,22.66,8.1,255.56,123,60.5,Hold,2026-02-16 10:06:33.927980,2026-02-16
OSWALPUMPS.NS,333.3500061035156,1129632,Industrials,Electrical Equipment & Parts,3799.44,647.0512272185343,462.2979992675781,26.44,31.9,31.9,0.0,45.5,18.11,8.28,100,38.94,62.48,85.49,0,0.0,0,1,-15.42,False,157.88,-52.64,Bearish,False,Strong Buy,585.5,75.64,2,77.23,8.26,19.89,293.57,50,49.5,Avoid,2026-02-16 10:06:33.927980,2026-02-16
PACEDIGITK.NS,179.4199981689453,1038173,Technology,Communication Equipment,3872.8,199.7688046330991,185.9527993774414,59.84,13.5,82.17,0.0,17.91,11.48,0.11,100,15.15,22.65,78.05,0,0.0,0,2,0.0,True,138.68,-22.71,Bullish,True,Strong Buy,263.0,46.58,1,74.36,3.68,8.1,163.22,123,67.7,Buy,2026-02-16 10:06:33.927980,2026-02-16
PANAMAPET.NS,286.70001220703125,49887,Energy,Oil & Gas Refining & Marketing,1737.43,316.6311744689941,290.5379998779297,50.23,6.5,9.41,0.0,21.76,6.32,2.33,100,9.37,29.02,80.43,0,0.0,0,1,-3.62,False,390.52,36.21,Neutral,False,None,0.0,0.0,0,78.43,2.0,9.4,267.91,106,32.7,Avoid,2026-02-16 10:06:33.927980,2026-02-16
PFC.NS,407.29998779296875,12477160,Financial Services,Credit Services,134413.13,389.6771258544922,369.6559991455078,72.15,11.5,11.29,0.0,19.37,50.51,0.0,100,5.33,8.29,78.0,0,0.0,0,2,-0.09,True,783.23,92.3,Bullish,True,Strong Buy,495.14285,21.57,14,55.99,22.01,12.88,381.54,77,79.3,Buy,2026-02-16 10:06:33.927980,2026-02-16
PNB.NS,118.2300033569336,13689087,Financial Services,Banks - Regional,135903.06,112.81110088348389,122.50580001831055,34.35,-2.3,13.24,12.71,7.34,34.67,0.0,100,7.63,12.52,88.09,0,0.0,0,2,3.06,True,212.51,79.74,Bearish,False,Hold,131.76471,11.45,17,70.08,18.01,2.74,112.76,365,58.6,Hold,2026-02-16 10:06:33.927980,2026-02-16
PTCIL.NS,17774.0,14853,Industrials,Metal Fabrication,26647.76,15938.885,18046.56,54.58,72.2,,4.5,6.74,15.13,0.13,100,420.39,8.32,75.29,-4354186240,-0.93,0,3,6.88,True,938.27,-94.72,Bullish,True,None,22818.334,28.38,3,67.21,8.08,595.32,16583.36,1,,Avoid,2026-02-16 10:06:33.927980,2026-02-16
RBLBANK.NS,312.45001220703125,3538986,Financial Services,Banks - Regional,19298.54,273.5060041809082,305.812001953125,70.17,40.8,,0.0,4.64,9.08,0.0,100,26.48,5.89,58.84,0,0.0,0,1,6.67,False,264.67,-15.29,Bullish,True,None,342.55557,9.64,18,7.13,51.72,7.65,297.15,130,,Avoid,2026-02-16 10:06:33.927980,2026-02-16
RECLTD.NS,348.75,12396979,Financial Services,Credit Services,91846.56,368.7566363525391,356.14569091796875,43.14,2.3,,21.47,19.86,72.19,6.66,100,5.34,22.5,74.33,0,0.0,0,1,-1.72,False,682.88,95.81,Bearish,False,Strong Buy,464.23077,33.11,13,52.65,21.68,9.95,328.84,100,,Avoid,2026-02-16 10:06:33.927980,2026-02-16
REDINGTON.NS,258.6000061035156,1494713,Technology,Information Technology Services,20216.69,272.7992388153076,270.6329983520508,55.77,15.7,,0.0,19.19,1.57,0.28,100,11.46,22.76,63.81,0,0.0,0,2,2.47,True,241.93,-6.45,Neutral,False,Buy,313.75,21.33,4,26.0,37.81,8.57,241.46,116,,Avoid,2026-02-16 10:06:33.927980,2026-02-16
SAIL.NS,158.2100067138672,24069499,Basic Materials,Steel,65349.04,133.16591800689696,145.26519973754884,54.17,11.8,-0.32,0.0,8.99,2.55,0.58,100,25.52,2.94,83.91,0,0.0,0,1,9.0,False,140.04,-11.48,Neutral,False,Hold,140.51852,-11.18,27,65.1,18.81,4.91,148.39,203,30.5,Avoid,2026-02-16 10:06:33.927980,2026-02-16
SANDUMA.NS,204.41000366210938,1822521,Basic Materials,Steel,9938.92,186.00212127685546,222.5060009765625,46.31,27.0,,0.0,20.95,11.79,0.64,100,17.22,25.12,76.53,0,0.0,0,1,9.03,True,126.27,-38.23,Bearish,False,None,0.0,0.0,0,75.92,0.61,8.56,187.29,116,,Avoid,2026-02-16 10:06:33.927980,2026-02-16
SARDAEN.NS,496.29998779296875,503966,Basic Materials,Steel,17488.68,502.45089401245116,499.6539990234375,59.85,-3.3,,0.0,17.25,18.54,0.38,100,16.57,22.42,78.42,0,0.0,0,2,-2.78,False,365.82,-26.29,Bullish,True,None,0.0,0.0,0,74.87,3.54,17.68,460.93,56,,Avoid,2026-02-16 10:06:33.927980,2026-02-16
SCI.NS,266.7699890136719,17042481,Industrials,Marine Shipping,12426.12,216.93677642822266,225.1557989501953,77.5,22.5,,0.0,11.54,20.27,0.33,100,10.96,4.89,68.81,0,0.0,0,2,9.25,True,316.6,18.68,Bullish,True,None,0.0,0.0,0,63.8,5.01,11.9,242.97,84,,Avoid,2026-02-16 10:06:33.927980,2026-02-16
SHAKTIPUMP.NS,583.9500122070312,811497,Industrials,Specialty Industrial Machinery,7211.79,804.0058837890625,673.9710009765626,43.13,-14.4,,0.0,19.05,13.13,0.38,100,21.56,44.33,65.0,0,0.0,0,2,-8.82,True,242.6,-58.46,Neutral,True,None,0.0,0.0,0,54.66,10.34,36.55,510.84,27,,Avoid,2026-02-16 10:06:33.927980,2026-02-16
